Date,WORLD ex USA Standard (Large+Mid Cap) 
12/31/1969,100
01/30/1970,97.655
02/27/1970,96.154
03/31/1970,95.857
04/30/1970,85.564
05/29/1970,79.005
06/30/1970,79.616
07/31/1970,82.5
08/31/1970,83.872
09/30/1970,86.212
10/30/1970,83.612
11/30/1970,80.539
12/31/1970,83.169
01/29/1971,86.822
02/26/1971,87.642
03/31/1971,91.874
04/30/1971,93.632
05/31/1971,94.157
06/30/1971,95.568
07/30/1971,97.775
08/31/1971,96.022
09/30/1971,95.532
10/29/1971,91.302
11/30/1971,92.736
12/31/1971,106.628
01/31/1972,114.13
02/29/1972,120.791
03/31/1972,121.788
04/28/1972,126.216
05/31/1972,134.552
06/30/1972,129.708
07/31/1972,137.525
08/31/1972,138.917
09/29/1972,131.937
10/31/1972,131.481
11/30/1972,142.083
12/29/1972,144.924
01/31/1973,151.219
02/28/1973,166.424
03/30/1973,169.828
04/30/1973,157.902
05/31/1973,160.323
06/29/1973,162.222
07/31/1973,162.004
08/31/1973,152.887
09/28/1973,155.384
10/31/1973,158.018
11/30/1973,131.816
12/31/1973,125.497
01/31/1974,130.855
02/28/1974,135.8
03/29/1974,131.864
04/30/1974,133.657
05/31/1974,126.218
06/28/1974,119.393
07/31/1974,115.636
08/30/1974,103.201
09/30/1974,96.846
10/31/1974,96.354
11/29/1974,99.073
12/31/1974,97.663
01/31/1975,113.723
02/28/1975,127.138
03/31/1975,125.265
04/30/1975,129.651
05/30/1975,128.945
06/30/1975,124.476
07/31/1975,119.384
08/29/1975,118.362
09/30/1975,112.105
10/31/1975,119.622
11/28/1975,122.224
12/31/1975,123.894
01/30/1976,130.334
02/27/1976,129.687
03/31/1976,126.88
04/30/1976,126.344
05/31/1976,122.966
06/30/1976,124.116
07/30/1976,122.024
08/31/1976,121.294
09/30/1976,119.005
10/29/1976,111.564
11/30/1976,110.956
12/31/1976,123.094
01/31/1977,121.624
02/28/1977,123.751
03/31/1977,123.662
04/29/1977,126.134
05/31/1977,125.075
06/30/1977,127.66
07/29/1977,125.517
08/31/1977,129.668
09/30/1977,133.071
10/31/1977,134.699
11/30/1977,133.927
12/30/1977,138.651
01/31/1978,139.158
02/28/1978,140.12
03/31/1978,149.401
04/28/1978,148.017
05/31/1978,151.066
06/30/1978,156.711
07/31/1978,169.66
08/31/1978,172.637
09/29/1978,177.214
10/31/1978,185.304
11/30/1978,169.325
12/29/1978,176.987
01/31/1979,177.852
02/28/1979,177.007
03/30/1979,181.47
04/30/1979,180.676
05/31/1979,177.648
06/29/1979,180.847
07/31/1979,181.296
08/31/1979,186.619
09/28/1979,195.023
10/31/1979,178.318
11/30/1979,181.659
12/31/1979,188.109
01/31/1980,199.142
02/29/1980,200.977
03/31/1980,175.394
04/30/1980,190.401
05/30/1980,199.657
06/30/1980,211.804
07/31/1980,211.124
08/29/1980,217.53
09/30/1980,224.725
10/31/1980,231.752
11/28/1980,227.653
12/31/1980,225.415
01/30/1981,220.362
02/27/1981,216.733
03/31/1981,224.641
04/30/1981,228.793
05/29/1981,220.348
06/30/1981,219.806
07/31/1981,210.301
08/31/1981,214.622
09/30/1981,192.049
10/30/1981,193.69
11/30/1981,214.445
12/31/1981,210.827
01/29/1982,206.748
02/26/1982,192.045
03/31/1982,181.973
04/30/1982,191.761
05/31/1982,188.445
06/30/1982,172.896
07/30/1982,171.492
08/31/1982,173.603
09/30/1982,172.295
10/29/1982,174.344
11/30/1982,186.914
12/31/1982,201.99
01/31/1983,201.244
02/28/1983,205.171
03/31/1983,212.309
04/29/1983,225.194
05/31/1983,224.46
06/30/1983,229.07
07/29/1983,229.258
08/31/1983,225.762
09/30/1983,232.288
10/31/1983,229.175
11/30/1983,236.163
12/30/1983,244.434
01/31/1984,252.018
02/29/1984,254.927
03/30/1984,274.567
04/30/1984,269.279
05/31/1984,243.379
06/29/1984,241.758
07/31/1984,225.474
08/31/1984,245.569
09/28/1984,242.767
10/31/1984,246.725
11/30/1984,242.784
12/31/1984,245.972
01/31/1985,252.444
02/28/1985,249.598
03/29/1985,267.777
04/30/1985,266.539
05/31/1985,276.678
06/28/1985,282.28
07/31/1985,295.328
08/30/1985,302.872
09/30/1985,316.963
10/31/1985,334.817
11/29/1985,348.867
12/31/1985,363.191
01/31/1986,371.026
02/28/1986,408.819
03/31/1986,463.471
04/30/1986,491.333
05/30/1986,470.008
06/30/1986,498.791
07/31/1986,526.023
08/29/1986,576.296
09/30/1986,570.451
10/31/1986,533.669
11/28/1986,562.831
12/31/1986,590.842
01/30/1987,653.954
02/27/1987,673.671
03/31/1987,729.766
04/30/1987,801.64
05/29/1987,800.295
06/30/1987,776.517
07/31/1987,778.898
08/31/1987,833.519
09/30/1987,820.223
10/30/1987,700.302
11/30/1987,704.726
12/31/1987,725.291
01/29/1988,735.683
02/29/1988,783.533
03/31/1988,830.435
04/29/1988,841.246
05/31/1988,813.289
06/30/1988,794.002
07/29/1988,816.333
08/31/1988,762.785
09/30/1988,794.238
10/31/1988,859.65
11/30/1988,907.915
12/30/1988,912.463
01/31/1989,929.67
02/28/1989,932.361
03/31/1989,914.315
04/28/1989,922.252
05/31/1989,873.081
06/30/1989,859.14
07/31/1989,964.044
08/31/1989,922.166
09/29/1989,960.914
10/31/1989,923.099
11/30/1989,967.278
12/29/1989,1001.555
01/31/1990,961.836
02/28/1990,895.578
03/30/1990,805.342
04/30/1990,795.141
